nom;enseigne;reseau;adresse;code_postal;ville;region;latitude;longitude;telephone;contact;ca_jrf;exercice;reference;libelle_excel
AD Delhaize Leopold Iii Evere;AD Delhaize;affilie;Rue de Genève 2;1140;Evere;bruxelles;;;;;;;ADD-038;AD DELHAIZE LEOPOLD III EVERE
AD Delhaize Lessines;AD Delhaize;affilie;Rue du Pont de Pierre 11;7860;Lessines;wallonie;;;;;;;ADD-039;AD DELHAIZE LESSINES
AD Delhaize Louvain La Neuve;AD Delhaize;affilie;Place de lAccueil 10;1348;Louvain-la-Neuve;wallonie;;;;;;;ADD-040;AD DELHAIZE LOUVAIN LA NEUVE
AD Delhaize Marcinelle;AD Delhaize;affilie;Chaussée de Philippeville 236;6001;Marcinelle;wallonie;;;;;;;ADD-041;AD DELHAIZE MARCINELLE
AD Delhaize Melsbroek;AD Delhaize;affilie;Vliegveld 770 (Brucargo);1820;Melsbroek;flandre;;;;;;;ADD-042;AD DELHAIZE MELSBROEK
AD Delhaize Mettet;AD Delhaize;affilie;Rue Hennevauche 72;5640;Mettet;wallonie;;;;;;;ADD-043;AD DELHAIZE METTET
AD Delhaize Mons;AD Delhaize;affilie;Rue de Nimy 117-121;7000;Mons;wallonie;;;;;;;ADD-044;AD DELHAIZE MONS
AD Delhaize Montigny Le Tilleul;AD Delhaize;affilie;Rue de Gozée 400;6110;Montigny-le-Tilleul;wallonie;;;;;;;ADD-045;AD DELHAIZE MONTIGNY LE TILLEUL
AD Delhaize Morlanwelz;AD Delhaize;affilie;Chaussée Brunehault 500;7140;Morlanwelz;wallonie;;;;;;;ADD-046;AD DELHAIZE MORLANWELZ
AD Delhaize Nimy - Vamodis;AD Delhaize;affilie;Rue de Nimy 117-121;7020;Nimy;wallonie;;;;;;;ADD-047;AD DELHAIZE NIMY - VAMODIS
AD Delhaize Oostkamp;AD Delhaize;affilie;Kortrijksestraat 103-105;8020;Oostkamp;flandre;;;;;;;ADD-048;AD DELHAIZE OOSTKAMP
AD Delhaize Ottignies;AD Delhaize;affilie;;1340;Ottignies;wallonie;;;;;;;ADD-049;AD DELHAIZE OTTIGNIES
AD Delhaize Oudenaarde;AD Delhaize;affilie;;9700;Audenarde;flandre;;;;;;;ADD-050;AD DELHAIZE OUDENAARDE
AD Delhaize Prince De Liege;AD Delhaize;affilie;;1070;Anderlecht;bruxelles;;;;;;;ADD-051;AD DELHAIZE PRINCE DE LIEGE
AD Delhaize Roodebeek;AD Delhaize;affilie;;1200;Woluwe-Saint-Lambert;bruxelles;;;;;;;ADD-052;AD DELHAIZE ROODEBEEK
AD Delhaize Schoten;AD Delhaize;affilie;;2900;Schoten;flandre;;;;;;;ADD-053;AD DELHAIZE SCHOTEN
AD Delhaize Seraing;AD Delhaize;affilie;;4100;Seraing;wallonie;;;;;;;ADD-054;AD DELHAIZE SERAING
AD Delhaize Tournai;AD Delhaize;affilie;;7500;Tournai;wallonie;;;;;;;ADD-055;AD DELHAIZE TOURNAI
AD Delhaize Tubize;AD Delhaize;affilie;;1480;Tubize;wallonie;;;;;;;ADD-056;AD DELHAIZE TUBIZE
AD Delhaize Uccle Defre;AD Delhaize;affilie;;1180;Uccle;bruxelles;;;;;;;ADD-057;AD DELHAIZE UCCLE DEFRE
AD Delhaize Virton;AD Delhaize;affilie;;6760;Virton;wallonie;;;;;;;ADD-058;AD DELHAIZE VIRTON
AD Delhaize Waasland;AD Delhaize;affilie;;9100;Sint-Niklaas;flandre;;;;;;;ADD-059;AD DELHAIZE WAASLAND
AD Delhaize Waterloo;AD Delhaize;affilie;;1410;Waterloo;wallonie;;;;;;;ADD-060;AD DELHAIZE WATERLOO
AD Delhaize Wavre;AD Delhaize;affilie;;1300;Wavre;wallonie;;;;;;;ADD-061;AD DELHAIZE WAVRE
AD Delhaize Wilrijk;AD Delhaize;affilie;;2610;Wilrijk;flandre;;;;;;;ADD-062;AD DELHAIZE WILRIJK
